"H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","n","Model"
0.961302387154641,0.94665072469136,0.966225970587334,0.230263068497587,0.0390646660675237,0.0174616855983865,0.0178227657522711,0.00424737572385581,"1000","AR2_M1"
0.966515326625614,0.953673081081961,0.970764435035125,0.185991561848396,0.0339827818212328,0.0152202576166127,0.0154930290886655,0.00296835418971572,"1000","AR2_M1"
0.969456898955551,0.95751641652436,0.973236273422681,0.1671347756334,0.0309562995310034,0.0138783891366612,0.0141062351426852,0.00242247695650853,"1000","AR2_M1"
0.964761611489443,0.951277447095121,0.96921937331868,0.206183956368378,0.035657929950723,0.0159593651337576,0.0162603727448169,0.00345910129001161,"1000","AR2_M1"
0.962749954336428,0.948601692342252,0.967489723168321,0.215243749945485,0.0376514660746633,0.016839321051655,0.0171746162737501,0.00382094891771122,"1000","AR2_M1"
0.964824105291269,0.951178852227532,0.969155713585703,0.229667223346753,0.0354706636078339,0.0158728770184431,0.0161728674028462,0.00383259108716842,"1000","AR2_M1"
0.968818501463547,0.956623734383702,0.97266290415503,0.188091993174242,0.0315746090575403,0.0141517128278789,0.0143889866027635,0.00278251916291843,"1000","AR2_M1"
0.961156131090534,0.946499370392877,0.966127837452419,0.24638809444443,0.0392351375991832,0.0175377496426807,0.0179014468113507,0.00456534135200741,"1000","AR2_M1"
0.961938883754152,0.947635945812975,0.966864430352855,0.222681920520818,0.0385301504437674,0.0172292767800297,0.0175788760999604,0.00404865229048515,"1000","AR2_M1"
0.96277751896266,0.94869783799792,0.96755194508093,0.226322214470596,0.0376665055817782,0.0168472724294046,0.0171820895500074,0.00401910055161379,"1000","AR2_M1"
0.972231017234887,0.961077634461887,0.97551908379877,0.170642860499027,0.0280538340618122,0.0125879068210244,0.0127770565963336,0.00223502904511716,"1000","AR2_M1"
0.966948908319463,0.954134715629754,0.971061784897601,0.179178272543007,0.0334413547571006,0.0149782932988839,0.0152440195155608,0.00281279433079337,"1000","AR2_M1"
0.96839484881956,0.956073213718701,0.972309076363938,0.184257010319186,0.0320012792722976,0.0143409630629361,0.0145844987076433,0.00276382910969405,"1000","AR2_M1"
0.952706954628989,0.935957191487034,0.959259791285763,0.268171470995358,0.0479253359885915,0.0213714561300979,0.0219035429539883,0.00612337282073281,"1000","AR2_M1"
0.975567721479736,0.965562072099019,0.978383355407473,0.1426194631582,0.0246781601370443,0.0110868418094403,0.011234059211555,0.00163759479858703,"1000","AR2_M1"
0.965723608344522,0.952647632729526,0.970103479054586,0.196833689325014,0.0347883193211836,0.0155770491138679,0.0158624752947429,0.00321849122439385,"1000","AR2_M1"
0.970304463716817,0.958490527697007,0.973861421543312,0.150182759661665,0.0299919793617341,0.0134479851800092,0.0136636446431707,0.00210712100731514,"1000","AR2_M1"
0.975370133928258,0.965207093496491,0.978157044879142,0.124224299607474,0.0248147936385772,0.0111463844150776,0.0112959327733939,0.00143456446440188,"1000","AR2_M1"
0.969909893154976,0.958015066928082,0.97355635675908,0.170187762710963,0.0304211740811384,0.0136392100800256,0.0138604706052899,0.00242295421940231,"1000","AR2_M1"
0.971428135477187,0.959972397752639,0.97481138470559,0.146683200117132,0.0288425682879325,0.0129376171354732,0.0131376032312453,0.00197686005114747,"1000","AR2_M1"
0.963548353138895,0.949703777177038,0.968202630435339,0.18721937939581,0.0368982092924194,0.0165079155690394,0.0168294658408724,0.00325427968407234,"1000","AR2_M1"
0.9509220025196,0.933607746952635,0.957720310068308,0.303048534504655,0.0496459142413807,0.0221245965786505,0.0226960150712164,0.00718163124883206,"1000","AR2_M1"
0.963194772754894,0.949140359158613,0.967838259319036,0.190253715408896,0.0371854383145605,0.0166326529572478,0.0169603133305494,0.00333398953241049,"1000","AR2_M1"
0.966139545023161,0.952638863623675,0.970097824280794,0.216070379797763,0.0339643929803057,0.0152014351373598,0.0154800310125957,0.00344787514872783,"1000","AR2_M1"
0.965884508425058,0.952740401960456,0.970163298740357,0.193477207795537,0.0345163685823229,0.0154542088451842,0.015736822120501,0.00313835455062336,"1000","AR2_M1"
0.963757047755756,0.950254301044256,0.968558485096847,0.197202027290948,0.0368895960777742,0.0165100532574476,0.0168280766046825,0.00342625754966044,"1000","AR2_M1"
0.96537782770427,0.952048501065881,0.969717025728552,0.189023921842628,0.0350087887569512,0.0156715205346891,0.0159623593383411,0.00311149302728562,"1000","AR2_M1"
0.96617361650998,0.953129277283291,0.970414000198414,0.186547918630543,0.0342329476427095,0.0153289789955233,0.0156069655822585,0.00300021119327788,"1000","AR2_M1"
0.967084401661839,0.954628008525118,0.971379390774883,0.176428321632802,0.0335408414616652,0.0150285141605528,0.0152922277569498,0.00277747510685086,"1000","AR2_M1"
0.956728071908987,0.940970383769868,0.962533888226261,0.239416536691476,0.0438182057693186,0.0195620482276532,0.0200103368469434,0.00497728506448061,"1000","AR2_M1"
0.948934243995076,0.931131192342905,0.956094027694105,0.286140670655725,0.0516719172903804,0.0230145045467333,0.023631503840081,0.0070724574796398,"1000","AR2_M1"
